Date,F/R,S/R,City
2016-12-09,35,97,Shillong
2016-12-07,65,48,Shillong
2016-12-06,10,71,Shillong
2016-12-05,14,38,Shillong
2016-12-03,19,74,Shillong
2016-12-02,67,2,Shillong
2016-12-01,7,98,Shillong
2016-11-30,1,92,Shillong
2016-11-29,73,52,Shillong
2016-11-28,36,97,Shillong
2016-11-26,19,78,Shillong
2016-11-26,19,78,Shillong
2016-11-25,27,33,Shillong
2016-11-24,43,35,Shillong
2016-11-22,8,34,Shillong
2016-11-21,53,94,Shillong
2016-11-19,90,13,Shillong
2016-11-18,66,74,Shillong
2016-11-17,77,3,Shillong
2016-11-16,85,6,Shillong
2016-11-15,13,76,Shillong
2016-11-14,55,55,Shillong
2016-11-12,10,64,Shillong
2016-11-11,76,59,Shillong
2016-11-10,9,15,Shillong
2016-11-09,96,84,Shillong
2016-11-08,36,53,Shillong
2016-11-07,66,34,Shillong
2016-11-05,89,4,Shillong
2016-11-04,49,34,Shillong
2016-11-03,8,74,Shillong
2016-11-02,27,51,Shillong
2016-11-01,51,61,Shillong
2016-10-31,0,27,Shillong
2016-10-29,25,16,Shillong
2016-10-28,3,54,Shillong
2016-10-27,69,53,Shillong
2016-10-26,66,23,Shillong
2016-10-25,40,42,Shillong
2016-10-24,97,14,Shillong
2016-10-22,90,90,Shillong
2016-10-20,78,13,Shillong
2016-10-19,60,89,Shillong
2016-10-18,57,19,Shillong
2016-10-17,64,5,Shillong
2016-10-15,60,61,Shillong
2016-10-14,0,27,Shillong
2016-10-13,37,59,Shillong
2016-10-12,51,33,Shillong
2016-10-11,82,6,Shillong
2016-10-08,14,73,Shillong
2016-10-07,61,87,Shillong
2016-10-06,59,94,Shillong
2016-10-05,75,54,Shillong
2016-10-04,68,27,Shillong
2016-10-03,32,25,Shillong
2016-10-01,55,11,Shillong
2016-09-30,66,34,Shillong
2016-09-29,32,71,Shillong
2016-09-28,97,77,Shillong
2016-09-27,73,7,Shillong
2016-09-26,44,94,Shillong
2016-09-23,99,37,Shillong
2016-09-21,43,95,Shillong
2016-09-20,31,74,Shillong
2016-09-19,40,18,Shillong
2016-09-17,62,79,Shillong
2016-09-16,50,8,Shillong
2016-09-15,37,5,Shillong
2016-09-14,53,3,Shillong
2016-09-13,84,6,Shillong
2016-09-12,44,90,Shillong
2016-09-10,35,9,Shillong
2016-09-09,78,70,Shillong
2016-09-08,15,42,Shillong
2016-09-07,18,53,Shillong
2016-09-06,6,40,Shillong
2016-09-05,22,92,Shillong
2016-09-03,24,62,Shillong
2016-09-02,58,34,Shillong
2016-09-01,38,33,Shillong
2016-08-31,92,17,Shillong
2016-08-30,30,1,Shillong
2016-08-29,52,39,Shillong
2016-08-27,73,93,Shillong
2016-08-26,89,75,Shillong
2016-08-25,7,68,Shillong
2016-08-24,68,17,Shillong
2016-08-23,99,92,Shillong
2016-08-22,22,54,Shillong
2016-08-20,26,34,Shillong
2016-08-19,1,31,Shillong
2016-08-18,85,63,Shillong
2016-08-17,98,6,Shillong
2016-08-16,82,76,Shillong
2016-08-13,37,18,Shillong
2016-08-12,51,21,Shillong
2016-08-11,77,27,Shillong
2016-08-10,4,24,Shillong
2016-08-09,3,80,Shillong
2016-08-08,63,38,Shillong
2016-08-06,63,5,Shillong
2016-08-05,74,86,Shillong
2016-08-04,4,85,Shillong
2016-08-03,65,50,Shillong
2016-08-02,48,88,Shillong
2016-08-01,9,56,Shillong
2016-07-30,59,12,Shillong
2016-07-29,15,11,Shillong
2016-07-28,60,96,Shillong
2016-07-27,74,54,Shillong
2016-07-26,61,14,Shillong
2016-07-25,24,52,Shillong
2016-07-23,37,23,Shillong
